StockID,YahooID,StockName,Industry,Market
3037,3037.TW,欣興,ABF／IC載板,TW
3044,3044.TW,健鼎,ABF／IC載板,TW
3189,3189.TW,景碩,ABF／IC載板,TW
4958,4958.TW,臻鼎-KY,ABF／IC載板,TW
8046,8046.TW,南電,ABF／IC載板,TW
3211,3211.TWO,順達,BBU,TWO
3323,3323.TWO,加百裕,BBU,TWO
4931,4931.TWO,新盛力,BBU,TWO
6558,6558.TW,興能高,BBU,TW
6781,6781.TW,AES-KY,BBU,TW
1303,1303.TW,南亞,CCL,TW
2383,2383.TW,台光電,CCL,TW
6213,6213.TW,聯茂,CCL,TW
6274,6274.TWO,台燿,CCL,TWO
8039,8039.TW,台虹,CCL,TW
2345,2345.TW,智邦,CPO,TW
2455,2455.TW,全新,CPO,TW
3081,3081.TWO,聯亞,CPO,TWO
3443,3443.TW,創意,CPO,TW
6451,6451.TW,訊芯-KY,CPO,TW
3167,3167.TW,大量,CoPoS,TW
3535,3535.TW,晶彩科,CoPoS,TW
3680,3680.TWO,家登,CoPoS,TWO
5443,5443.TWO,均豪,CoPoS,TWO
6789,6789.TW,采鈺,CoPoS,TW
2467,2467.TW,志聖,CoWoS,TW
3131,3131.TWO,弘塑,CoWoS,TWO
3583,3583.TW,辛耘,CoWoS,TW
6187,6187.TWO,萬潤,CoWoS,TWO
6640,6640.TWO,均華,CoWoS,TWO
3008,3008.TW,大立光,FAU,TW
3163,3163.TWO,波若威,FAU,TWO
3362,3362.TWO,先進光,FAU,TWO
3363,3363.TWO,上詮,FAU,TWO
3406,3406.TW,玉晶光,FAU,TW
2301,2301.TW,光寶科,HVDC設備,TW
2308,2308.TW,台達電,HVDC設備,TW
3015,3015.TW,全漢,HVDC設備,TW
6282,6282.TW,康舒,HVDC設備,TW
7788,7788.TW,松川精密,HVDC設備,TW
2330,2330.TW,台積電,先進封裝,TW
2449,2449.TW,京元電子,先進封裝,TW
3711,3711.TW,日月光投控,先進封裝,TW
6239,6239.TW,力成,先進封裝,TW
6257,6257.TW,矽格,先進封裝,TW
3450,3450.TW,聯鈞,光通訊,TW
4908,4908.TWO,前鼎,光通訊,TWO
4977,4977.TW,眾達-KY,光通訊,TW
4979,4979.TWO,華星光,光通訊,TWO
6442,6442.TW,光聖,光通訊,TW
2481,2481.TW,強茂,功率元件,TW
3675,3675.TWO,德微,功率元件,TWO
5425,5425.TWO,台半,功率元件,TWO
6435,6435.TWO,大中,功率元件,TWO
8261,8261.TW,富鼎,功率元件,TW
2351,2351.TW,順德,導線架,TW
2486,2486.TW,一詮,導線架,TW
5285,5285.TW,界霖,導線架,TW
6548,6548.TWO,長科*,導線架,TWO
8070,8070.TW,長華*,導線架,TW
6223,6223.TWO,旺矽,探針／測試介面,TWO
6510,6510.TWO,精測,探針／測試介面,TWO
6515,6515.TW,穎崴,探針／測試介面,TW
6683,6683.TWO,雍智科技,探針／測試介面,TWO
7734,7734.TWO,印能科技,探針／測試介面,TWO
1717,1717.TW,長興,特用化學,TW
1773,1773.TW,勝一,特用化學,TW
4749,4749.TWO,新應材,特用化學,TWO
4755,4755.TW,三福化,特用化學,TW
4772,4772.TWO,台特化,特用化學,TWO
1802,1802.TW,台玻,玻纖布,TW
1815,1815.TWO,富喬,玻纖布,TWO
5340,5340.TWO,建榮,玻纖布,TWO
5475,5475.TWO,德宏,玻纖布,TWO
5498,5498.TWO,凱崴,玻纖布,TWO
2327,2327.TW,國巨,被動元件,TW
2492,2492.TW,華新科,被動元件,TW
3026,3026.TW,禾伸堂,被動元件,TW
3624,3624.TWO,光頡,被動元件,TWO
6173,6173.TWO,信昌電,被動元件,TWO
2328,2328.TW,廣宇,連接元件,TW
3605,3605.TW,宏致,連接元件,TW
3665,3665.TW,貿聯-KY,連接元件,TW
6197,6197.TW,佳必琪,連接元件,TW
6279,6279.TWO,胡連,連接元件,TWO
