Recommendation_Date,Rank,StockID,StockName,Industry,AI_Score,Entry_Close,Status,Elapsed_Trading_Days,Target_Date,Exit_Close,Actual_Return_5D,Weight,Contribution_Return,Completed_Date
2026-08-11,1,4908,前鼎,光通訊,75.35,151.0,已完成,5,2026-08-18,150.0,-0.0066225165562914,0.1,-0.0006622516556291,2026-08-18
2026-08-11,2,3450,聯鈞,光通訊,75.04,473.5,已完成,5,2026-08-18,579.0,0.2228088701161563,0.1,0.0222808870116156,2026-08-18
2026-08-11,3,3167,大量,CoPoS,73.34,635.0,已完成,5,2026-08-18,770.0,0.2125984251968504,0.1,0.021259842519685,2026-08-18
2026-08-11,4,2351,順德,導線架,72.71,169.5,已完成,5,2026-08-18,176.0,0.0383480825958701,0.1,0.003834808259587,2026-08-18
2026-08-11,5,2455,全新,CPO,69.67,367.5,已完成,5,2026-08-18,417.5,0.1360544217687074,0.1,0.0136054421768707,2026-08-18
2026-08-11,6,3081,聯亞,CPO,69.44,2480.0,已完成,5,2026-08-18,2925.0,0.1794354838709677,0.1,0.0179435483870967,2026-08-18
2026-08-11,7,3583,辛耘,CoWoS,69.28,702.0,已完成,5,2026-08-18,702.0,0.0,0.1,0.0,2026-08-18
2026-08-11,8,6510,精測,探針／測試介面,69.23,2800.0,已完成,5,2026-08-18,2765.0,-0.0124999999999999,0.1,-0.0012499999999999,2026-08-18
2026-08-11,9,3675,德微,功率元件,69.0,272.5,已完成,5,2026-08-18,274.0,0.0055045871559633,0.1,0.0005504587155963,2026-08-18
2026-08-11,10,5475,德宏,玻纖布,68.55,135.0,已完成,5,2026-08-18,182.5,0.3518518518518518,0.1,0.0351851851851851,2026-08-18
2026-08-13,1,6451,訊芯-KY,CPO,77.4,436.0,已完成,5,2026-08-20,437.0,0.0022935779816513,0.1,0.0002293577981651,2026-08-20
2026-08-13,2,3167,大量,CoPoS,74.27,674.0,已完成,5,2026-08-20,762.0,0.1305637982195846,0.1,0.0130563798219584,2026-08-20
2026-08-13,3,3363,上詮,FAU,74.0,600.0,已完成,5,2026-08-20,610.0,0.0166666666666666,0.1,0.0016666666666666,2026-08-20
2026-08-13,4,5285,界霖,導線架,72.5,79.5999984741211,已完成,5,2026-08-20,77.19999694824219,-0.0301507735161474,0.1,-0.0030150773516147,2026-08-20
2026-08-13,4,3450,聯鈞,光通訊,75.4,527.0,已完成,5,2026-08-20,553.0,0.049335863377609,0.1,0.0049335863377609,2026-08-20
2026-08-13,5,6515,穎崴,探針／測試介面,72.18,6745.0,已完成,5,2026-08-20,6380.0,-0.0541141586360266,0.1,-0.0054114158636026,2026-08-20
2026-08-13,6,3081,聯亞,CPO,70.52,2665.0,已完成,5,2026-08-20,2780.0,0.0431519699812383,0.1,0.0043151969981238,2026-08-20
2026-08-13,7,2449,京元電子,先進封裝,70.45,253.5,已完成,5,2026-08-20,235.0,-0.0729783037475345,0.1,-0.0072978303747534,2026-08-20
2026-08-13,7,6282,康舒,HVDC設備,71.66,48.150001525878906,已完成,5,2026-08-20,45.0,-0.06542059036459,0.1,-0.006542059036459,2026-08-20
2026-08-13,8,1815,富喬,玻纖布,70.22,89.9000015258789,已完成,5,2026-08-20,107.0,0.1902113257383941,0.1,0.0190211325738394,2026-08-20
2026-08-13,8,2455,全新,CPO,70.68,384.0,已完成,5,2026-08-20,412.0,0.0729166666666667,0.1,0.0072916666666666,2026-08-20
2026-08-13,9,3675,德微,功率元件,70.15,278.0,已完成,5,2026-08-20,269.0,-0.0323741007194244,0.1,-0.0032374100719424,2026-08-20
2026-08-13,9,6239,力成,先進封裝,70.59,283.0,已完成,5,2026-08-20,268.5,-0.0512367491166078,0.1,-0.0051236749116607,2026-08-20
2026-08-13,9,2327,國巨,被動元件,71.05,662.0,已完成,5,2026-08-20,562.0,-0.1510574018126887,0.1,-0.0151057401812688,2026-08-20
2026-08-13,10,3535,晶彩科,CoPoS,70.11,92.3000030517578,已完成,5,2026-08-20,88.0,-0.046587247124429,0.1,-0.0046587247124429,2026-08-20
2026-08-17,1,6515,穎崴,探針／測試介面,83.49,6610.0,已完成,5,2026-08-24,6145.0,-0.0703479576399395,0.1,-0.0070347957639939,2026-08-24
2026-08-17,2,5498,凱崴,玻纖布,79.68,51.20000076293945,已完成,5,2026-08-24,51.09999847412109,-0.001953169674379,0.1,-0.0001953169674379,2026-08-24
2026-08-17,3,3450,聯鈞,光通訊,77.11,550.0,已完成,5,2026-08-24,507.0,-0.0781818181818181,0.1,-0.0078181818181818,2026-08-24
2026-08-17,4,3081,聯亞,CPO,76.89,2790.0,已完成,5,2026-08-24,2765.0,-0.0089605734767025,0.1,-0.0008960573476702,2026-08-24
2026-08-17,5,6239,力成,先進封裝,76.3,278.0,已完成,5,2026-08-24,269.5,-0.0305755395683453,0.1,-0.0030575539568345,2026-08-24
2026-08-17,6,4979,華星光,光通訊,73.55,545.0,已完成,5,2026-08-24,547.0,0.003669724770642,0.1,0.0003669724770642,2026-08-24
2026-08-17,7,3535,晶彩科,CoPoS,71.72,92.3000030517578,已完成,5,2026-08-24,85.5,-0.0736728366947577,0.1,-0.0073672836694757,2026-08-24
2026-08-17,8,3211,順達,BBU,71.17,392.0,已完成,5,2026-08-24,326.0,-0.1683673469387755,0.1,-0.0168367346938775,2026-08-24
2026-08-17,9,2449,京元電子,先進封裝,70.75,248.5,已完成,5,2026-08-24,239.0,-0.0382293762575453,0.1,-0.0038229376257545,2026-08-24
2026-08-17,10,2351,順德,導線架,69.86,170.0,已完成,5,2026-08-24,200.5,0.1794117647058823,0.1,0.0179411764705882,2026-08-24
2026-08-18,1,6274,台燿,CCL,83.94,1545.0,已完成,5,2026-08-25,1485.0,-0.0388349514563106,0.1,-0.003883495145631,2026-08-25
2026-08-18,2,2327,國巨,被動元件,83.07,576.0,已完成,5,2026-08-25,544.0,-0.0555555555555555,0.1,-0.0055555555555555,2026-08-25
2026-08-18,3,2492,華新科,被動元件,78.62,282.0,已完成,5,2026-08-25,268.0,-0.0496453900709219,0.1,-0.0049645390070921,2026-08-25
2026-08-18,4,4979,華星光,光通訊,78.27,528.0,已完成,5,2026-08-25,601.0,0.1382575757575757,0.1,0.0138257575757575,2026-08-25
2026-08-18,5,3624,光頡,被動元件,77.77,84.80000305175781,已完成,5,2026-08-25,87.5,0.0318395855079656,0.1,0.0031839585507965,2026-08-25
2026-08-18,6,3211,順達,BBU,77.45,382.5,已完成,5,2026-08-25,331.0,-0.1346405228758169,0.1,-0.0134640522875816,2026-08-25
2026-08-18,7,5498,凱崴,玻纖布,75.76,49.79999923706055,已完成,5,2026-08-25,52.09999847412109,0.0461847243433071,0.1,0.0046184724343307,2026-08-25
2026-08-18,8,6173,信昌電,被動元件,73.13,194.5,已完成,5,2026-08-25,203.5,0.0462724935732647,0.1,0.0046272493573264,2026-08-25
2026-08-18,9,3535,晶彩科,CoPoS,72.62,89.0,已完成,5,2026-08-25,85.5,-0.0393258426966292,0.1,-0.0039325842696629,2026-08-25
2026-08-18,10,3605,宏致,連接元件,72.53,121.0,已完成,5,2026-08-25,116.5,-0.037190082644628,0.1,-0.0037190082644628,2026-08-25
2026-08-18,16,4958,臻鼎-KY,ABF／IC載板,66.36,474.0,已完成,5,2026-08-25,444.0,-0.0632911392405063,0.1,-0.0063291139240506,2026-08-25
2026-08-18,17,3044,健鼎,ABF／IC載板,66.01,488.5,已完成,5,2026-08-25,463.0,-0.052200614124872,0.1,-0.0052200614124872,2026-08-25
2026-08-18,52,3037,欣興,ABF／IC載板,60.27,1145.0,已完成,5,2026-08-25,1095.0,-0.0436681222707423,0.1,-0.0043668122270742,2026-08-25
2026-08-18,73,8046,南電,ABF／IC載板,53.12,1245.0,已完成,5,2026-08-25,1160.0,-0.0682730923694778,0.1,-0.0068273092369477,2026-08-25
