StockID,StockName,Industry,PriceStatus,InstitutionStatus,PriceRows,InstitutionRows,Error
3037,欣興,ABF／IC載板,使用既有檔案,使用既有檔案,1602,1601,
3044,健鼎,ABF／IC載板,下載成功,下載成功,1602,1602,
3189,景碩,ABF／IC載板,下載成功,下載成功,1602,1602,
4958,臻鼎-KY,ABF／IC載板,下載成功,下載成功,1602,1601,
8046,南電,ABF／IC載板,下載成功,下載成功,1602,1602,
3211,順達,BBU,下載成功,下載成功,1602,1601,
3323,加百裕,BBU,下載成功,下載成功,1602,1599,
4931,新盛力,BBU,下載成功,下載成功,1602,1568,
6558,興能高,BBU,尚未處理,尚未處理,0,0,ValueError: Yahoo股價資料為空
6781,AES-KY,BBU,下載成功,下載成功,1310,1309,
1303,南亞,CCL,下載成功,下載成功,1602,1602,
2383,台光電,CCL,下載成功,下載成功,1602,1602,
6213,聯茂,CCL,下載成功,下載成功,1602,1602,
6274,台燿,CCL,尚未處理,尚未處理,0,0,ValueError: Yahoo股價資料為空
8039,台虹,CCL,下載成功,下載成功,1602,1602,
2345,智邦,CPO,下載成功,下載成功,1602,1602,
2455,全新,CPO,下載成功,下載成功,1602,1602,
3081,聯亞,CPO,下載成功,下載成功,1602,1601,
3443,創意,CPO,下載成功,下載成功,1602,1602,
6451,訊芯-KY,CPO,下載成功,下載成功,1602,1602,
3167,大量,CoPoS,尚未處理,尚未處理,0,0,ValueError: Yahoo股價資料為空
3535,晶彩科,CoPoS,下載成功,下載成功,1602,1602,
3680,家登,CoPoS,下載成功,下載成功,1602,1602,
5443,均豪,CoPoS,下載成功,下載成功,1602,1600,
6789,采鈺,CoPoS,下載成功,下載成功,1301,1230,
2467,志聖,CoWoS,下載成功,下載成功,1602,1602,
3131,弘塑,CoWoS,下載成功,下載成功,1602,1601,
3583,辛耘,CoWoS,下載成功,下載成功,1602,1601,
6187,萬潤,CoWoS,下載成功,下載成功,1602,1601,
6640,均華,CoWoS,下載成功,下載成功,1602,1071,
3008,大立光,FAU,下載成功,下載成功,1602,1602,
3163,波若威,FAU,下載成功,下載成功,1602,1601,
3362,先進光,FAU,下載成功,下載成功,1602,1601,
3363,上詮,FAU,下載成功,下載成功,1602,1602,
3406,玉晶光,FAU,下載成功,下載成功,1602,1602,
2301,光寶科,HVDC設備,下載成功,下載成功,1602,1602,
2308,台達電,HVDC設備,下載成功,下載成功,1602,1602,
3015,全漢,HVDC設備,下載成功,下載成功,1602,1602,
6282,康舒,HVDC設備,下載成功,下載成功,1602,1602,
7788,松川精密,HVDC設備,下載成功,下載成功,431,212,
2330,台積電,先進封裝,下載成功,下載成功,1602,1602,
2449,京元電子,先進封裝,下載成功,下載成功,1602,1601,
3711,日月光投控,先進封裝,下載成功,下載成功,1602,1602,
6239,力成,先進封裝,下載成功,下載成功,1602,1602,
6257,矽格,先進封裝,下載成功,下載成功,1602,1602,
3450,聯鈞,光通訊,下載成功,下載成功,1602,1602,
4908,前鼎,光通訊,下載成功,下載成功,1602,1602,
4977,眾達-KY,光通訊,尚未處理,尚未處理,0,0,ValueError: Yahoo股價資料為空
4979,華星光,光通訊,下載成功,下載成功,1602,1602,
6442,光聖,光通訊,下載成功,下載成功,1602,1487,
2481,強茂,功率元件,下載成功,下載成功,1602,1602,
3675,德微,功率元件,下載成功,下載成功,1602,1545,
5425,台半,功率元件,下載成功,下載成功,1602,1601,
6435,大中,功率元件,下載成功,下載成功,1602,1600,
8261,富鼎,功率元件,下載成功,下載成功,1602,1602,
2351,順德,導線架,下載成功,下載成功,1602,1601,
2486,一詮,導線架,下載成功,下載成功,1602,1602,
5285,界霖,導線架,下載成功,下載成功,1602,1602,
6548,長科*,導線架,尚未處理,尚未處理,0,0,ValueError: Yahoo股價資料為空
8070,長華*,導線架,下載成功,下載成功,1602,1593,
6223,旺矽,探針／測試介面,下載成功,下載成功,1602,1601,
6510,精測,探針／測試介面,下載成功,下載成功,1602,1601,
6515,穎崴,探針／測試介面,下載成功,下載成功,1602,1464,
6683,雍智科技,探針／測試介面,下載成功,下載成功,1602,1601,
7734,印能科技,探針／測試介面,下載成功,下載成功,585,475,
1717,長興,特用化學,下載成功,下載成功,1602,1595,
1773,勝一,特用化學,下載成功,下載成功,1602,1602,
4749,新應材,特用化學,下載成功,下載成功,1089,867,
4755,三福化,特用化學,下載成功,下載成功,1602,1587,
4772,台特化,特用化學,下載成功,下載成功,938,638,
1802,台玻,玻纖布,下載成功,下載成功,1602,1602,
1815,富喬,玻纖布,下載成功,下載成功,1602,1601,
5340,建榮,玻纖布,下載成功,下載成功,1602,1547,
5475,德宏,玻纖布,下載成功,下載成功,1602,1266,
5498,凱崴,玻纖布,下載成功,下載成功,1602,1600,
2327,國巨,被動元件,下載成功,下載成功,1602,1587,
2492,華新科,被動元件,下載成功,下載成功,1602,1602,
3026,禾伸堂,被動元件,下載成功,下載成功,1602,1602,
3624,光頡,被動元件,下載成功,下載成功,1602,1602,
6173,信昌電,被動元件,下載成功,下載成功,1602,1601,
2328,廣宇,連接元件,下載成功,下載成功,1602,1602,
3605,宏致,連接元件,下載成功,下載成功,1602,1601,
3665,貿聯-KY,連接元件,下載成功,下載成功,1602,1601,
6197,佳必琪,連接元件,下載成功,下載成功,1602,1602,
6279,胡連,連接元件,下載成功,下載成功,1602,1601,
