Feature,Mean_Abs_SHAP,Mean_SHAP,Positive_Count,Negative_Count,Importance_Rank,Importance_Percent
ATR_Ratio,0.06869639,0.05894376,75,10,1,9.9695425
Return_20D,0.06336752,-0.031883843,20,65,2,9.196193
Volatility_20D,0.05303435,0.0363772,54,31,3,7.696594
Return_3D,0.045626264,0.035680726,72,13,4,6.621498
Return_5D,0.038016073,0.0266469,70,15,5,5.5170712
Close_MA5_Ratio,0.037435412,0.029315775,62,23,6,5.4328027
MA20_MA60_Ratio,0.03651378,0.0112236915,28,57,7,5.2990513
InvestmentTrust_NetBuy_Ratio,0.036422357,0.00037950018,27,58,8,5.2857833
MACD_Diff_Ratio,0.02897578,-0.007469511,27,58,9,4.205101
Return_1D,0.025217593,0.004308768,38,47,10,3.6596954
Return_10D,0.023277257,-0.012782316,27,58,11,3.3781047
Close_MA60_Ratio,0.021646904,0.004169476,34,51,12,3.1415005
Volatility_5D,0.020521542,-0.0052299392,12,73,13,2.9781826
Dealer_NetBuy_Ratio,0.019211147,-0.003519837,27,58,14,2.788012
Volume_5D_20D_Ratio,0.018574456,0.0075497515,70,15,15,2.6956122
RSI,0.01843807,0.007586059,60,25,16,2.6758192
Foreign_NetBuy_20D_Ratio,0.015699372,0.0018463533,39,46,17,2.2783666
Institutional_NetBuy_Ratio,0.014376605,0.0011182571,41,44,18,2.0864005
InvestmentTrust_NetBuy_20D_Ratio,0.013098281,-0.0002638848,48,37,19,1.9008839
Close_MA10_Ratio,0.012785363,-0.0067855758,36,49,20,1.855472
Foreign_NetBuy_Ratio,0.010844715,0.0018019738,40,45,21,1.5738358
MA5_MA20_Ratio,0.010140142,0.0057573435,50,35,22,1.4715852
InvestmentTrust_NetBuy_5D_Ratio,0.008047231,-0.0014000433,43,42,23,1.1678519
Dealer_NetBuy_5D_Ratio,0.0078211995,-0.0038016364,8,77,24,1.1350492
Close_MA20_Ratio,0.0077106077,0.0025809382,64,21,25,1.1189996
Institutional_NetBuy_20D_Ratio,0.0067522195,-0.0016893267,51,34,26,0.9799138
Foreign_NetBuy_5D_Ratio,0.006699224,0.0013840059,39,46,27,0.9722228
InvestmentTrust_Buy_Streak,0.0066097267,-0.0003010885,17,68,28,0.9592346
Volume_Ratio,0.006308136,-0.0005984222,42,43,29,0.91546637
Institutional_NetBuy_5D_Ratio,0.0039766347,-0.00033721025,17,68,30,0.5771079
Foreign_Buy_Streak,0.0016921317,-0.00029393515,30,55,31,0.24557011
Dealer_Buy_Streak,0.0015261229,-0.0006202611,15,70,32,0.22147812
