Industry,Industry_AI_Score,Highest_AI_Score,Average_RSI,Average_Foreign_5D_Ratio,Stock_Count,Industry_Rank,Top_StockID,Top_StockName,Top_Stock_AI_Score
探針／測試介面,58.221996,61.78,50.184933392524,-0.023951054749010135,5,1,6683,雍智科技,61.78
FAU,56.758003,62.95,46.62464846329793,-0.11074441349868365,5,2,3406,玉晶光,62.95
被動元件,56.346,60.36,57.47515258038696,-0.011309612641841712,5,3,3026,禾伸堂,60.36
CPO,54.309998,57.53,55.52730359332774,-0.049946283632324055,5,4,3443,創意,57.53
光通訊,53.32,61.68,49.17503936350393,-0.060145544037324264,5,5,4908,前鼎,61.68
CCL,52.25,62.69,50.808660975419826,0.0016289490506664422,5,6,8039,台虹,62.69
CoWoS,51.573997,56.94,44.485354553285376,-0.10768317685567966,5,7,6640,均華,56.94
功率元件,50.846,56.66,57.70153300454035,0.019751669647530983,5,8,8261,富鼎,56.66
導線架,50.626,54.58,50.5677707924988,0.004276015408570826,5,9,2351,順德,54.58
ABF／IC載板,49.798,53.31,60.14209287003367,0.06895108109270498,5,10,3037,欣興,53.31
連接元件,49.278,58.12,57.40122097158779,0.0430938148313007,5,11,3605,宏致,58.12
先進封裝,49.182,59.35,62.95919259879192,0.19893380664228974,5,12,3711,日月光投控,59.35
玻纖布,48.870003,50.74,49.88644305460145,-0.035955694982740816,5,13,5475,德宏,50.74
HVDC設備,48.44,53.23,51.67683822625469,-0.0202794877349612,5,14,2308,台達電,53.23
BBU,48.34,50.64,48.51789058940893,-0.013589827958941125,5,15,3211,順達,50.64
CoPoS,46.95,49.0,52.98006714933466,-0.004317089262391782,5,16,3535,晶彩科,49.0
特用化學,46.278,51.51,48.236414432072095,0.01595276522990729,5,17,4749,新應材,51.51
