Industry,被選次數,選股日期數,平均AI分數,成本後平均報酬,選取占比
CPO,133,105,0.6686297,0.017073402022030844,0.10390625
光通訊,126,110,0.65798026,0.015348994221139476,0.0984375
玻纖布,112,88,0.67014295,0.001412181153330465,0.0875
CoPoS,100,85,0.6693508,0.0016894679700464965,0.078125
ABF／IC載板,90,75,0.63999665,-0.0002248670575718586,0.0703125
CoWoS,85,70,0.64650446,-0.004935417587659732,0.06640625
FAU,78,72,0.68779784,0.007162493644541501,0.0609375
探針／測試介面,76,68,0.6811541,0.004430762073772607,0.059375
BBU,69,60,0.64595246,0.01037426943732292,0.05390625
CCL,69,64,0.6408559,0.0033068211671652466,0.05390625
先進封裝,65,55,0.63787854,0.008959602965346104,0.05078125
導線架,64,57,0.6522026,0.000834807972992325,0.05
功率元件,59,51,0.69047034,-0.0038204128495715303,0.04609375
HVDC設備,47,44,0.6383698,0.007896985977325938,0.03671875
被動元件,39,37,0.67595774,0.025072311793831306,0.03046875
特用化學,34,33,0.6550476,0.007871657113677929,0.0265625
連接元件,34,32,0.6540332,0.01511695109513615,0.0265625
