StockID,StockName,PriceRows,InstitutionRows,MergedRows,InstitutionNonZeroRows,Status,Error
3037,欣興,1602,1601,1602,1599,合併成功,
3044,健鼎,1602,1602,1602,1600,合併成功,
3189,景碩,1602,1602,1602,1600,合併成功,
4958,臻鼎-KY,1602,1601,1602,1599,合併成功,
8046,南電,1602,1602,1602,1600,合併成功,
3211,順達,1602,1601,1602,1599,合併成功,
3323,加百裕,1602,1599,1602,1587,合併成功,
4931,新盛力,1602,1568,1602,1544,合併成功,
6558,興能高,1602,1602,1602,1594,合併成功,
6781,AES-KY,1310,1309,1310,1307,合併成功,
1303,南亞,1602,1602,1602,1600,合併成功,
2383,台光電,1602,1602,1602,1600,合併成功,
6213,聯茂,1602,1602,1602,1600,合併成功,
6274,台燿,1602,1601,1602,1599,合併成功,
8039,台虹,1602,1602,1602,1600,合併成功,
2345,智邦,1602,1602,1602,1600,合併成功,
2455,全新,1602,1602,1602,1600,合併成功,
3081,聯亞,1602,1601,1602,1599,合併成功,
3443,創意,1602,1602,1602,1600,合併成功,
6451,訊芯-KY,1602,1602,1602,1597,合併成功,
3167,大量,1602,1598,1602,1584,合併成功,
3535,晶彩科,1602,1602,1602,1599,合併成功,
3680,家登,1602,1602,1602,1599,合併成功,
5443,均豪,1602,1600,1602,1595,合併成功,
6789,采鈺,1301,1230,1301,1206,合併成功,
2467,志聖,1602,1602,1602,1600,合併成功,
3131,弘塑,1602,1601,1602,1597,合併成功,
3583,辛耘,1602,1601,1602,1598,合併成功,
6187,萬潤,1602,1601,1602,1599,合併成功,
6640,均華,1602,1071,1602,1051,合併成功,
3008,大立光,1602,1602,1602,1600,合併成功,
3163,波若威,1602,1601,1602,1598,合併成功,
3362,先進光,1602,1601,1602,1595,合併成功,
3363,上詮,1602,1602,1602,1596,合併成功,
3406,玉晶光,1602,1602,1602,1600,合併成功,
2301,光寶科,1602,1602,1602,1600,合併成功,
2308,台達電,1602,1602,1602,1600,合併成功,
3015,全漢,1602,1602,1602,1597,合併成功,
6282,康舒,1602,1602,1602,1600,合併成功,
7788,松川精密,431,212,431,211,合併成功,
2330,台積電,1602,1602,1602,1600,合併成功,
2449,京元電子,1602,1601,1602,1599,合併成功,
3711,日月光投控,1602,1602,1602,1600,合併成功,
6239,力成,1602,1602,1602,1600,合併成功,
6257,矽格,1602,1602,1602,1600,合併成功,
3450,聯鈞,1602,1602,1602,1600,合併成功,
4908,前鼎,1602,1602,1602,1597,合併成功,
4977,眾達-KY,1602,1601,1602,1592,合併成功,
4979,華星光,1602,1602,1602,1599,合併成功,
6442,光聖,1602,1487,1602,1448,合併成功,
2481,強茂,1602,1602,1602,1600,合併成功,
3675,德微,1602,1545,1602,1541,合併成功,
5425,台半,1602,1601,1602,1599,合併成功,
6435,大中,1602,1600,1602,1589,合併成功,
8261,富鼎,1602,1602,1602,1600,合併成功,
2351,順德,1602,1601,1602,1599,合併成功,
2486,一詮,1602,1602,1602,1599,合併成功,
5285,界霖,1602,1602,1602,1595,合併成功,
6548,長科*,1602,1594,1602,1590,合併成功,
8070,長華*,1602,1593,1602,1589,合併成功,
6223,旺矽,1602,1601,1602,1599,合併成功,
6510,精測,1602,1601,1602,1599,合併成功,
6515,穎崴,1602,1464,1602,1438,合併成功,
6683,雍智科技,1602,1601,1602,1595,合併成功,
7734,印能科技,585,475,585,456,合併成功,
1717,長興,1602,1595,1602,1593,合併成功,
1773,勝一,1602,1602,1602,1596,合併成功,
4749,新應材,1089,867,1089,826,合併成功,
4755,三福化,1602,1587,1602,1577,合併成功,
4772,台特化,938,638,938,629,合併成功,
1802,台玻,1602,1602,1602,1600,合併成功,
1815,富喬,1602,1601,1602,1599,合併成功,
5340,建榮,1602,1547,1602,1542,合併成功,
5475,德宏,1602,1266,1602,1253,合併成功,
5498,凱崴,1602,1600,1602,1590,合併成功,
2327,國巨,1602,1587,1602,1585,合併成功,
2492,華新科,1602,1602,1602,1600,合併成功,
3026,禾伸堂,1602,1602,1602,1599,合併成功,
3624,光頡,1602,1602,1602,1600,合併成功,
6173,信昌電,1602,1601,1602,1599,合併成功,
2328,廣宇,1602,1602,1602,1600,合併成功,
3605,宏致,1602,1601,1602,1599,合併成功,
3665,貿聯-KY,1602,1601,1602,1599,合併成功,
6197,佳必琪,1602,1602,1602,1600,合併成功,
6279,胡連,1602,1601,1602,1598,合併成功,
