Model,Fold,ROC_AUC,Accuracy,Precision,Recall,F1,Positive_Prediction_Rate,Train_Start,Train_End,Valid_Start,Valid_End,Train_Dates,Valid_Dates,Train_Rows,Valid_Rows,Negative_Count,Positive_Count,Scale_Pos_Weight,Seconds
Logistic Regression,1,0.5235403243155732,0.48979690992129044,0.40446114486728496,0.6237208728886697,0.49071244968233185,0.6077154795452337,2020-04-08,2021-04-20,2021-04-28,2022-05-13,252,256,19825,20582,10490,9335,1.1237279057311194,4.83
Random Forest,1,0.5306770788490671,0.5163735302691672,0.4099306030691037,0.5170755763777586,0.4573110893032385,0.497084831406083,2020-04-08,2021-04-20,2021-04-28,2022-05-13,252,256,19825,20582,10490,9335,1.1237279057311194,33.92
XGBoost,1,0.537433382248691,0.5116120882324361,0.41389406441309556,0.5751448649981507,0.48137447115880716,0.5476144203673112,2020-04-08,2021-04-20,2021-04-28,2022-05-13,252,256,19825,20582,10490,9335,1.1237279057311194,1.75
Logistic Regression,2,0.5357156729512131,0.5387429331559694,0.46217547000895254,0.45721244326358906,0.4596805609661083,0.42453323198251697,2020-04-08,2022-05-06,2022-05-16,2023-06-01,508,256,40397,21049,23128,17269,1.3392784758816376,1.79
Random Forest,2,0.5214630151789938,0.5433037198916814,0.4603933351543294,0.3731872024797963,0.4122286762457964,0.34785500498836047,2020-04-08,2022-05-06,2022-05-16,2023-06-01,508,256,40397,21049,23128,17269,1.3392784758816376,64.39
XGBoost,2,0.5181646619592638,0.5290037531474179,0.4505556179144685,0.4443706409830621,0.4474417567718203,0.423250510713098,2020-04-08,2022-05-06,2022-05-16,2023-06-01,508,256,40397,21049,23128,17269,1.3392784758816376,3.34
Logistic Regression,3,0.5535248743681394,0.5621189924861774,0.4689850958126331,0.3742213161173406,0.41627819075217337,0.33292377486886254,2020-04-08,2023-05-25,2023-06-02,2024-06-20,764,256,61436,21161,35080,26356,1.3310062224920323,1.96
Random Forest,3,0.5497973773289428,0.5761069892727186,0.48502230720203954,0.2585796805980292,0.337322695035461,0.2224375029535466,2020-04-08,2023-05-25,2023-06-02,2024-06-20,764,256,61436,21161,35080,26356,1.3310062224920323,102.54
XGBoost,3,0.5378464751789019,0.561079344076367,0.4630017733354828,0.3252916525087779,0.38211814795103777,0.29313359482066065,2020-04-08,2023-05-25,2023-06-02,2024-06-20,764,256,61436,21161,35080,26356,1.3310062224920323,3.44
Logistic Regression,4,0.5695716762636461,0.524619018944833,0.46327300150829565,0.6613198406717623,0.5448578650937957,0.6142016767798416,2020-04-08,2024-06-13,2024-06-21,2025-07-11,1020,256,82592,21589,47377,35215,1.345364191395712,2.7
Random Forest,4,0.5739739984438277,0.5494464773727361,0.48,0.5658305522661212,0.5193932506546766,0.5072027421371995,2020-04-08,2024-06-13,2024-06-21,2025-07-11,1020,256,82592,21589,47377,35215,1.345364191395712,138.85
XGBoost,4,0.572451903510315,0.539024503219232,0.4721217727693213,0.6043707611152976,0.5301227573182248,0.55078975404141,2020-04-08,2024-06-13,2024-06-21,2025-07-11,1020,256,82592,21589,47377,35215,1.345364191395712,7.64
Logistic Regression,5,0.5136273272605133,0.5060002758747528,0.49750792931581334,0.6169694699381907,0.5508361204013378,0.6088555795668766,2020-04-08,2025-07-04,2025-07-14,2026-08-03,1276,256,104176,21749,59788,44388,1.3469406145805172,3.02
Random Forest,5,0.5253083212716694,0.517127224240195,0.5079250720461095,0.5281887994006368,0.5178587824809475,0.5105522092969792,2020-04-08,2025-07-04,2025-07-14,2026-08-03,1276,256,104176,21749,59788,44388,1.3469406145805172,177.2
XGBoost,5,0.5270861073130303,0.5172651616166261,0.5077589943649762,0.5485109571080726,0.5273488497726556,0.5303692123775806,2020-04-08,2025-07-04,2025-07-14,2026-08-03,1276,256,104176,21749,59788,44388,1.3469406145805172,7.07
