StockID,StockName,Industry,被選次數,平均AI分數,平均未來5日報酬,成本後平均報酬,達標率,選取占比
3443,創意,CPO,52,0.6617791,0.029235015736627824,0.023235015736627822,0.6153846153846154,0.040625
5475,德宏,玻纖布,50,0.6976962,-0.016186652751273827,-0.02218665275127383,0.32,0.0390625
4979,華星光,光通訊,43,0.6661107,0.03127125831913729,0.025271258319137287,0.5348837209302325,0.03359375
3081,聯亞,CPO,39,0.6839614,0.02535565026650163,0.01935565026650163,0.6153846153846154,0.03046875
6442,光聖,光通訊,31,0.6637905,0.034379814384634486,0.02837981438463448,0.6774193548387096,0.02421875
3167,大量,CoPoS,31,0.674233,0.006213721325492712,0.00021372132549271006,0.3870967741935484,0.02421875
3675,德微,功率元件,30,0.6626836,0.018362606324835423,0.012362606324835419,0.4,0.0234375
6640,均華,CoWoS,29,0.6701004,0.023413525205029637,0.017413525205029635,0.5172413793103449,0.02265625
8046,南電,ABF／IC載板,29,0.637869,0.011780477765241826,0.005780477765241824,0.4482758620689655,0.02265625
6515,穎崴,探針／測試介面,28,0.68525726,0.014294830387420706,0.008294830387420706,0.4642857142857143,0.021875
4977,眾達-KY,光通訊,24,0.62897325,-0.002591299400485391,-0.00859129940048539,0.3333333333333333,0.01875
6187,萬潤,CoWoS,23,0.6338041,-0.027314333473853602,-0.033314333473853604,0.391304347826087,0.01796875
6239,力成,先進封裝,22,0.62687707,0.010303193276264756,0.004303193276264758,0.36363636363636365,0.0171875
3131,弘塑,CoWoS,21,0.63950485,-0.00783557143449858,-0.013835571434498584,0.42857142857142855,0.01640625
3363,上詮,FAU,21,0.6981825,0.002715589638203984,-0.0032844103617960187,0.47619047619047616,0.01640625
3680,家登,CoPoS,21,0.67198837,-0.004609275941107827,-0.010609275941107828,0.2857142857142857,0.01640625
1303,南亞,CCL,21,0.6463889,0.011634436554230073,0.005634436554230073,0.38095238095238093,0.01640625
6781,AES-KY,BBU,21,0.67475975,0.0014274561889862408,-0.004572543811013761,0.47619047619047616,0.01640625
2449,京元電子,先進封裝,20,0.63177294,0.01432422313276847,0.008324223132768472,0.45,0.015625
3535,晶彩科,CoPoS,20,0.64514816,0.03331504773114306,0.027315047731143054,0.5,0.015625
3362,先進光,FAU,20,0.65855354,0.024748678979544712,0.01874867897954471,0.55,0.015625
3037,欣興,ABF／IC載板,20,0.65684545,-0.0024332877754358164,-0.008433287775435819,0.5,0.015625
6683,雍智科技,探針／測試介面,19,0.67446774,-0.021817611561069088,-0.02781761156106909,0.3157894736842105,0.01484375
1802,台玻,玻纖布,19,0.6469051,0.009956615338674231,0.0039566153386742286,0.42105263157894735,0.01484375
2351,順德,導線架,19,0.653261,0.0025553368676961797,-0.0034446631323038213,0.3684210526315789,0.01484375
2455,全新,CPO,18,0.6428207,-0.009735091035900355,-0.015735091035900355,0.4444444444444444,0.0140625
6789,采鈺,CoPoS,18,0.66829515,0.007157004626470213,0.0011570046264702113,0.4444444444444444,0.0140625
6274,台燿,CCL,18,0.63704884,0.0169321119307037,0.010932111930703701,0.5,0.0140625
5498,凱崴,玻纖布,17,0.6581644,0.030504222789449798,0.024504222789449796,0.47058823529411764,0.01328125
3189,景碩,ABF／IC載板,17,0.6342207,0.007060706245117539,0.0010607062451175402,0.29411764705882354,0.01328125
3450,聯鈞,光通訊,16,0.6534249,0.025377071959873987,0.019377071959873985,0.625,0.0125
3044,健鼎,ABF／IC載板,16,0.62657744,0.000284557279319024,-0.005715442720680976,0.4375,0.0125
6451,訊芯-KY,CPO,16,0.6721634,0.03204445996412294,0.026044459964122937,0.375,0.0125
5340,建榮,玻纖布,15,0.62140095,0.04085694692794615,0.03485694692794614,0.5333333333333333,0.01171875
3665,貿聯-KY,連接元件,15,0.67395955,0.05854821277572118,0.05254821277572118,0.8,0.01171875
2486,一詮,導線架,15,0.66135556,0.019093479161245635,0.013093479161245631,0.6,0.01171875
3406,玉晶光,FAU,14,0.7147934,0.01429502797448121,0.00829502797448121,0.5,0.0109375
3711,日月光投控,先進封裝,14,0.6649354,0.03205205700947,0.02605205700947,0.5714285714285714,0.0109375
6558,興能高,BBU,13,0.65386385,0.04966418718846396,0.04366418718846395,0.5384615384615384,0.01015625
6213,聯茂,CCL,13,0.64066815,0.006361709774442136,0.00036170977444213503,0.38461538461538464,0.01015625
3163,波若威,FAU,13,0.6803383,0.03358612507249189,0.027586125072491884,0.5384615384615384,0.01015625
3323,加百裕,BBU,13,0.6403705,-0.016334871850722268,-0.02233487185072227,0.23076923076923078,0.01015625
6510,精測,探針／測試介面,13,0.6268496,0.025170459537532403,0.0191704595375324,0.38461538461538464,0.01015625
3015,全漢,HVDC設備,13,0.6062251,0.015450641126664406,0.009450641126664407,0.5384615384615384,0.01015625
3624,光頡,被動元件,13,0.7189398,-0.0017870901868880518,-0.007787090186888053,0.38461538461538464,0.01015625
4908,前鼎,光通訊,12,0.67792416,-0.005358920627444373,-0.011358920627444374,0.5,0.009375
2301,光寶科,HVDC設備,12,0.6306982,0.0036293228101382524,-0.0023706771898617464,0.5,0.009375
3211,順達,BBU,11,0.60038775,0.011843350679429048,0.005843350679429048,0.36363636363636365,0.00859375
2383,台光電,CCL,11,0.6299366,-0.000556659126601966,-0.006556659126601966,0.2727272727272727,0.00859375
1815,富喬,玻纖布,11,0.6700175,0.028990476723823135,0.022990476723823136,0.6363636363636364,0.00859375
5285,界霖,導線架,11,0.6820148,0.0062528482430595856,0.00025284824305958566,0.2727272727272727,0.00859375
7734,印能科技,探針／測試介面,11,0.7307444,0.05402938947919598,0.04802938947919597,0.6363636363636364,0.00859375
5425,台半,功率元件,11,0.6507685,-0.03864566991459024,-0.04464566991459024,0.2727272727272727,0.00859375
